state,state_po,county_name,fips,totalvotes2020,democrat2020,republican2020,twoparty2020,gop_pct2020,dem_pct2020,totalvotes2016,democrat2016,republican2016,twoparty2016,gop_pct2016,dem_pct2016,pct_change_gop,pct_change_dem
ALASKA,AK,DISTRICT 25,02025,9325,4600,4407,9007,48.9286110802709,51.0713889197291,8127,3378,3816,7194,53.044203502919096,46.955796497080904,-7.758797664709416,8.7648229391744
ALASKA,AK,DISTRICT 26,02026,10111,4558,5243,9801,53.494541373329255,46.505458626670745,8905,3374,4548,7922,57.409745013885384,42.590254986114616,-6.819754450414617,9.192721766593248
ALASKA,AK,DISTRICT 27,02027,9506,4844,4324,9168,47.16404886561955,52.83595113438045,8783,3729,4085,7814,52.277962631174816,47.722037368825184,-9.782159648481969,10.716042414601468
ALASKA,AK,DISTRICT 28,02028,12749,6264,6162,12426,49.589570255915014,50.410429744084986,11427,4749,5423,10172,53.31301612268974,46.68698387731026,-6.984121585254011,7.975340357303118
ALASKA,AK,DISTRICT 29,02029,10747,2985,7464,10449,71.43267298306058,28.56732701693942,9394,2101,6347,8448,75.13020833333333,24.869791666666668,-4.921502857902027,14.867576696384678
ALASKA,AK,DISTRICT 3,02003,8385,1903,6076,7979,76.1498934703597,23.850106529640307,7613,1241,5403,6644,81.32149307645996,18.678506923540038,-6.3594498950453655,27.687435763843826
ALASKA,AK,DISTRICT 30,02030,10176,2638,7180,9818,73.1309839071094,26.869016092890607,8950,1816,6194,8010,77.32833957553059,22.67166042446941,-5.427965596392282,18.513666797386442
ALASKA,AK,DISTRICT 31,02031,12410,5037,6971,12008,58.05296469020653,41.94703530979347,10182,3466,5617,9083,61.84080149730266,38.15919850269734,-6.125141840636306,9.926405573818275
ALASKA,AK,DISTRICT 32,02032,8335,3506,4440,7946,55.87717090359929,44.12282909640071,7472,2701,3764,6465,58.22119102861562,41.77880897138438,-4.026060071262105,5.6105479852760265
ALASKA,AK,DISTRICT 33,02033,10955,7535,3059,10594,28.874834812157825,71.12516518784217,9934,5978,2732,8710,31.366245694603904,68.6337543053961,-7.942968076905322,3.6300081609410118
ALASKA,AK,DISTRICT 34,02034,10729,5763,4543,10306,44.08111779545896,55.91888220454104,9431,4220,3955,8175,48.379204892966364,51.620795107033636,-8.88416233176309,8.32627062135618
ALASKA,AK,DISTRICT 35,02035,10102,5011,4769,9780,48.76278118609407,51.23721881390593,9042,3749,4105,7854,52.2663610898905,47.7336389101095,-6.703317068067527,7.339855045189969
ALASKA,AK,DISTRICT 36,02036,9292,3796,5114,8910,57.39618406285073,42.60381593714927,8264,2693,4460,7153,62.35146092548581,37.64853907451419,-7.947330806822583,13.1619366499921
ALASKA,AK,DISTRICT 37,02037,5142,2560,2358,4918,47.946319642130945,52.053680357869055,5062,2421,1938,4359,44.45973847212664,55.54026152787336,7.842109040272849,-6.277574275113085
ALASKA,AK,DISTRICT 38,02038,5299,3202,1737,4939,35.169062563271915,64.83093743672808,5095,2758,1143,3901,29.300179441168932,70.69982055883106,20.030195152514207,-8.301128737970897
ALASKA,AK,DISTRICT 39,02039,5891,3580,1939,5519,35.13317630005436,64.86682369994564,5639,3142,1405,4547,30.899494171981527,69.10050582801847,13.701460951136779,-6.126846797055108
ALASKA,AK,DISTRICT 4,02004,10511,5345,4690,10035,46.73642252117588,53.26357747882412,9521,4162,4070,8232,49.44120505344995,50.55879494655005,-5.470705111960717,5.349776503046644
ALASKA,AK,DISTRICT 40,02040,4603,2318,1994,4312,46.2430426716141,53.7569573283859,4610,2338,1377,3715,37.065948855989234,62.934051144010766,24.758826089358287,-14.58208020746209
ALASKA,AK,DISTRICT 5,02005,8654,4204,4077,8281,49.23318439801956,50.76681560198044,7906,3187,3683,6870,53.6098981077147,46.3901018922853,-8.16400303709085,9.434585248072036
ALASKA,AK,DISTRICT 6,02006,9460,3272,5770,9042,63.813315638133155,36.186684361866845,8460,2536,4929,7465,66.02813127930341,33.971868720696584,-3.354351544194756,6.519557871189274
ALASKA,AK,DISTRICT 7,02007,9622,2215,7027,9242,76.03332611988748,23.96667388011253,8294,1510,5935,7445,79.71793149764943,20.282068502350572,-4.622053418270888,18.16681260757469
ALASKA,AK,DISTRICT 8,02008,9912,1953,7618,9571,79.594608713823,20.405391286176993,8073,1218,6126,7344,83.41503267973856,16.584967320261438,-4.580018544839016,23.035462730446497
ALASKA,AK,DISTRICT 9,02009,10993,2769,7787,10556,73.76847290640394,26.23152709359606,8954,1843,6100,7943,76.7971799068362,23.20282009316379,-3.9437737220382685,13.053184864044232
ALASKA,AK,DISTRICT 99,02099,433,373,59,432,13.657407407407407,86.3425925925926,NA,NA,NA,NA,NA,NA,NA,NA
ARIZONA,AZ,APACHE,04001,35172,23293,11442,34735,32.94083777170002,67.05916222829998,27661,17083,8240,25323,32.53958851636852,67.460411483631475,1.2331110306747162,-0.5947921847895166
ARIZONA,AZ,COCHISE,04003,60442,23732,35557,59289,59.97233888242339,40.02766111757661,50015,17450,28092,45542,61.68372052171622,38.31627947828378,-2.7744461987994518,4.46646089493834
ARIZONA,AZ,COCONINO,04005,73272,44698,27052,71750,37.70313588850174,62.29686411149826,59784,32404,21108,53512,39.44535805053072,60.55464194946928,-4.416798954637802,2.8771075279130587
ARIZONA,AZ,GILA,04007,27662,8943,18377,27320,67.26573938506588,32.734260614934115,36697,7003,14182,21185,66.94359216426717,33.05640783573283,0.48122189201951215,-0.9745378941340421
ARIZONA,AZ,GRAHAM,04009,14995,4034,10749,14783,72.71189880267875,27.288101197321247,20306,3301,8025,11326,70.85467066925658,29.145329330743422,2.6211795438179974,-6.3723010721416395
ARIZONA,AZ,GREENLEE,04011,3685,1182,2433,3615,67.30290456431536,32.697095435684645,5192,1092,1892,2984,63.40482573726541,36.59517426273459,6.147921363592501,-10.65189305853208
ARIZONA,AZ,LA PAZ,04012,7458,2236,5129,7365,69.64019008825527,30.359809911744737,5951,1575,4003,5578,71.76407314449624,28.235926855503763,-2.9595352704751776,7.521917262039457
ARIZONA,AZ,MARICOPA,04013,2068144,1040774,995665,2036439,48.892453935521765,51.107546064478235,1567834,702907,747361,1450268,51.532613282510546,48.467386717489454,-5.123278597409719,5.447290489124068
ARIZONA,AZ,MOHAVE,04015,104668,24831,78535,103366,75.97759417990441,24.02240582009558,79943,17455,58282,75737,76.95314047295246,23.046859527047545,-1.2677147248992715,4.232881672677125
ARIZONA,AZ,"NAVAJO",04017,51767,23383,27657,51040,54.18691222570533,45.81308777429467,40294,16459,20577,37036,55.559455664758616,44.440544335241384,-2.470404763025591,3.0884937607860596
ARIZONA,AZ,PIMA,04019,520397,304981,207758,512739,40.51925053487252,59.48074946512748,421640,224661,167428,392089,42.70152949967992,57.29847050032008,-5.1105405131302355,3.808616435573464
ARIZONA,AZ,PINAL,04021,184974,75106,107077,182183,58.77441912801963,41.22558087198037,129546,47892,72819,120711,60.32507393692373,39.67492606307627,-2.5704979831860153,3.9083999966095018
ARIZONA,AZ,SANTA CRUZ,04023,19556,13138,6194,19332,32.040140699358574,67.95985930064143,16433,11690,3897,15587,25.00160390068647,74.99839609931352,28.15234105232285,-9.384916431214885
ARIZONA,AZ,YAVAPAI,04025,143221,49602,91527,141129,64.85343196649873,35.14656803350127,114450,35590,71330,106920,66.71343060231949,33.28656939768051,-2.788042256301071,5.587835182409551
ARIZONA,AZ,YUMA,04027,69881,32210,36534,68744,53.14500174560689,46.85499825439311,53010,24605,25165,49770,50.56258790436006,49.43741209563994,5.1073608932586945,-5.223602392963011
ARKANSAS,AR,ARKANSAS,05001,6292,1818,4304,6122,70.30382228030055,29.696177719699445,6212,1939,3826,5765,66.36600173460538,33.633998265394624,5.93349070724849,-11.707857372837903
ARKANSAS,AR,ASHLEY,05003,7926,2125,5548,7673,72.3054867717972,27.69451322820279,8083,2408,5338,7746,68.9129873483088,31.087012651691197,4.9228738355828305,-10.912915504294517
ARKANSAS,AR,BAXTER,05005,21007,4635,15836,20471,77.35821405891261,22.64178594108739,19766,4169,14682,18851,77.88446236273937,22.115537637260623,-0.6756781620649965,2.3795410830986796
ARKANSAS,AR,BENTON,05007,119912,42249,73965,116214,63.64551603077082,36.35448396922918,96824,28005,60871,88876,68.48980602187318,31.51019397812683,-7.073008776744483,15.373723165478047
ARKANSAS,AR,BOONE,05009,17114,3064,13652,16716,81.67025604211534,18.329743957884663,16111,2926,12235,15161,80.7004814985819,19.299518501418113,1.2016961058038955,-5.024863928404189
ARKANSAS,AR,BRADLEY,05011,3654,1214,2335,3549,65.79318117779657,34.20681882220344,3653,1317,2164,3481,62.16604424016087,37.83395575983913,5.834595046169078,-9.586988367433435
ARKANSAS,AR,CALHOUN,05013,2182,479,1636,2115,77.35224586288416,22.64775413711584,2269,639,1556,2195,70.8883826879271,29.111617312072894,9.11836739654932,-22.20372405169129
ARKANSAS,AR,CARROLL,05015,11797,4023,7424,11447,64.85542063422731,35.14457936577269,10758,3342,6786,10128,67.00236966824644,32.997630331753555,-3.204288213460915,6.506373374190844
ARKANSAS,AR,CHICOT,05017,4103,2260,1752,4012,43.66899302093719,56.33100697906281,4176,2350,1716,4066,42.20363994097393,57.79636005902607,3.4721011789805356,-2.5353726055874937
ARKANSAS,AR,CLARK,05019,8395,3438,4616,8054,57.313136329774025,42.686863670225975,8526,3620,4404,8024,54.88534396809571,45.11465603190429,4.423389171232239,-5.381382848095795
